STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING,THEFT,DOWRY_DEATHS,OTHER_CRIMES,TOTAL_CRIMES
17,358,2012,51,53,10,272,2,4746,5134
17,437,2012,59,66,23,508,0,7744,8400
17,451,2012,37,89,17,288,3,4740,5174
17,490,2012,62,46,21,406,4,6535,7074
17,491,2012,58,49,14,292,1,5567,5981
17,500,2012,49,55,19,479,1,11752,12355
17,503,2012,14,36,5,299,0,3802,4156
17,504,2012,33,42,16,341,0,5213,5645
17,551,2012,42,97,10,530,2,13704,14385
17,647,2012,74,68,13,397,5,8054,8611
17,665,2012,52,32,17,289,2,4935,5327
17,704,2012,1,0,4,199,0,144,348
17,863,2012,23,35,13,247,0,5913,6231
17,864,2012,67,46,12,378,2,12898,13403
17,880,2012,26,41,23,540,0,6623,7253
17,881,2012,91,97,18,648,8,9203,10065
17,930,2012,15,36,12,144,1,2682,2890
17,872,2012,871,1019,281,7513,32,149273,158989
19,17,2012,93,22,13,156,0,1071,1355
19,41,2012,50,62,8,251,12,1411,1794
19,48,2012,49,50,6,186,10,2173,2474
19,64,2012,65,78,9,272,6,2362,2792
19,89,2012,61,50,8,245,2,1660,2026
19,107,2012,101,118,12,337,11,2501,3080
19,118,2012,144,49,27,517,40,3143,3920
19,121,2012,174,143,63,3809,19,10112,14320
19,123,2012,12,4,1,1147,0,265,1429
19,147,2012,23,23,6,142,2,1240,1436
19,174,2012,110,62,39,531,26,3753,4521
19,175,2012,94,122,21,445,18,4610,5310
19,214,2012,98,50,32,255,20,2793,3248
19,221,2012,85,23,28,255,8,2042,2441
19,232,2012,117,70,31,696,19,4436,5369
19,238,2012,114,81,49,670,39,4605,5558
19,252,2012,40,40,6,66,5,1111,1268
19,321,2012,89,60,28,467,8,2940,3592
19,329,2012,268,85,83,3136,35,6706,10313
19,336,2012,34,26,12,192,7,1047,1318
19,347,2012,76,69,34,371,12,2736,3298
19,364,2012,295,173,54,5835,24,14710,21091
19,366,2012,5,3,3,338,0,78,427
